listen on 3000
[00:22:38.690] GET /js/jquery.min.js
[00:22:38.765] GET /js/jquery.qrcode.min.js
[00:22:38.775] GET /js/rx.lite.js
[00:22:38.824] GET /js/mustache.min.js
[00:22:38.830] GET /js/sweetalert.min.js
[00:22:38.840] GET /js/utility.js
[00:22:38.846] GET /js/main.js
[00:22:38.856] GET /js/.js?_=1470003758441
[00:22:38.859] GET /css/sync.css
[00:22:38.864] GET /js/sync.js?_=1470003758442
[00:22:38.921] GET /
[00:22:38.924] GET /sync
[00:22:38.949] GET /css/normalize.css
[00:22:38.950] GET /css/sweetalert.css
[00:22:38.951] GET /css/default.css
[00:22:38.958] GET /js/jquery.min.js
[00:22:39.014] GET /js/jquery.qrcode.min.js
[00:22:39.021] GET /js/rx.lite.js
[00:22:39.058] GET /js/mustache.min.js
[00:22:39.067] GET /js/sweetalert.min.js
[00:22:39.082] GET /js/utility.js
[00:22:39.086] GET /js/main.js
[00:22:39.100] GET /js/.js?_=1470003758757
[00:22:39.105] GET /css/sync.css
[00:22:39.108] GET /js/sync.js?_=1470003758758
[00:22:39.209] GET /
[00:22:39.211] GET /sync
[00:22:39.223] GET /css/normalize.css
[00:22:39.224] GET /css/sweetalert.css
[00:22:39.224] GET /css/default.css
[00:22:39.230] GET /js/jquery.min.js
[00:22:39.293] GET /js/jquery.qrcode.min.js
[00:22:39.302] GET /js/rx.lite.js
[00:22:39.352] GET /js/mustache.min.js
[00:22:39.365] GET /js/sweetalert.min.js
[00:22:39.377] GET /js/utility.js
[00:22:39.384] GET /js/main.js
[00:22:39.392] GET /js/.js?_=1470003759008
[00:22:39.395] GET /css/sync.css
[00:22:39.397] GET /js/sync.js?_=1470003759009
[00:22:39.449] GET /
[00:22:39.451] GET /sync
[00:22:39.467] GET /css/normalize.css
[00:22:39.468] GET /css/sweetalert.css
[00:22:39.469] GET /css/default.css
[00:22:39.473] GET /js/jquery.min.js
[00:22:39.516] GET /js/jquery.qrcode.min.js
[00:22:39.522] GET /js/rx.lite.js
[00:22:39.561] GET /js/mustache.min.js
[00:22:39.571] GET /js/sweetalert.min.js
[00:22:39.586] GET /js/utility.js
[00:22:39.590] GET /js/main.js
[00:22:39.598] GET /js/.js?_=1470003759281
[00:22:39.603] GET /css/sync.css
[00:22:39.607] GET /js/sync.js?_=1470003759282
[00:22:39.663] GET /
[00:22:39.665] GET /sync
[00:22:39.671] GET /css/normalize.css
[00:22:39.672] GET /css/sweetalert.css
[00:22:39.673] GET /css/default.css
[00:22:39.676] GET /js/jquery.min.js
[00:22:39.721] GET /js/jquery.qrcode.min.js
[00:22:39.727] GET /js/rx.lite.js
[00:22:39.768] GET /js/mustache.min.js
[00:22:39.774] GET /js/sweetalert.min.js
[00:22:39.786] GET /js/utility.js
[00:22:39.789] GET /js/main.js
[00:22:39.796] GET /js/.js?_=1470003759510
[00:22:39.805] GET /css/sync.css
[00:22:39.809] GET /js/sync.js?_=1470003759511
[00:22:39.864] GET /
[00:22:39.870] GET /sync
[00:22:39.877] GET /css/normalize.css
[00:22:39.877] GET /css/sweetalert.css
[00:22:39.878] GET /css/default.css
[00:22:39.883] GET /js/jquery.min.js
[00:22:39.923] GET /js/jquery.qrcode.min.js
[00:22:39.931] GET /js/rx.lite.js
[00:22:39.969] GET /js/mustache.min.js
[00:22:39.981] GET /js/sweetalert.min.js
[00:22:39.993] GET /js/utility.js
[00:22:40.001] GET /js/main.js
[00:22:40.007] GET /js/.js?_=1470003759711
[00:22:40.013] GET /css/sync.css
[00:22:40.016] GET /js/sync.js?_=1470003759712
[00:22:40.078] GET /
[00:22:40.080] GET /sync
[00:22:40.089] GET /css/normalize.css
[00:22:40.090] GET /css/sweetalert.css
[00:22:40.091] GET /css/default.css
[00:22:40.095] GET /js/jquery.min.js
[00:22:40.134] GET /js/jquery.qrcode.min.js
[00:22:40.144] GET /js/rx.lite.js
[00:22:40.183] GET /js/mustache.min.js
[00:22:40.192] GET /js/sweetalert.min.js
[00:22:40.203] GET /js/utility.js
[00:22:40.210] GET /js/main.js
[00:22:40.218] GET /js/.js?_=1470003759918
[00:22:40.224] GET /css/sync.css
[00:22:40.227] GET /js/sync.js?_=1470003759919
[00:22:40.291] GET /
[00:22:40.293] GET /sync
