listen on 3000
[00:22:51.886] GET /js/main.js
[00:22:51.892] GET /js/.js?_=1470003769767
[00:22:51.896] GET /css/sync.css
[00:22:51.898] GET /js/sync.js?_=1470003769768
[00:22:52.101] GET /undefined
[00:22:52.107] GET /sync
[00:22:52.140] GET /css/sync.css
[00:22:52.146] GET /js/sync.js?_=1470003771825
[00:22:52.532] GET /index.html
[00:22:52.555] GET /css/normalize.css
[00:22:52.555] GET /css/sweetalert.css
[00:22:52.556] GET /css/default.css
[00:22:52.557] GET /js/jquery.min.js
[00:22:52.557] GET /js/jquery.qrcode.min.js
[00:22:52.557] GET /js/rx.lite.js
[00:22:52.558] GET /js/mustache.min.js
[00:22:52.558] GET /js/sweetalert.min.js
[00:22:52.567] GET /js/utility.js
[00:22:52.568] GET /js/main.js
[00:22:52.717] GET /undefined
[00:22:52.720] GET /sync
[00:22:52.744] GET /css/sync.css
[00:22:52.747] GET /js/sync.js?_=1470003772608
[00:23:17.389] GET /index.html
[00:23:17.403] GET /css/normalize.css
[00:23:17.405] GET /css/sweetalert.css
[00:23:17.407] GET /css/default.css
[00:23:17.408] GET /js/jquery.min.js
[00:23:17.408] GET /js/jquery.qrcode.min.js
[00:23:17.410] GET /js/rx.lite.js
[00:23:17.410] GET /js/mustache.min.js
[00:23:17.414] GET /js/sweetalert.min.js
[00:23:17.417] GET /js/utility.js
[00:23:17.417] GET /js/main.js
[00:23:17.583] GET /sync
[00:23:17.590] GET /css/sync.css
[00:23:17.593] GET /js/sync.js?_=1470003797454
[00:23:30.927] GET /index.html
[00:23:30.944] GET /css/normalize.css
[00:23:30.945] GET /css/default.css
[00:23:30.946] GET /css/sweetalert.css
[00:23:30.946] GET /js/jquery.min.js
[00:23:30.947] GET /js/jquery.qrcode.min.js
[00:23:30.947] GET /js/rx.lite.js
[00:23:30.948] GET /js/mustache.min.js
[00:23:30.952] GET /js/sweetalert.min.js
[00:23:30.954] GET /js/utility.js
[00:23:30.954] GET /js/main.js
[00:23:31.135] GET /sync
[00:23:31.155] GET /css/sync.css
[00:23:31.160] GET /js/sync.js?_=1470003810999
[00:23:36.986] GET /index.html
[00:23:36.998] GET /css/normalize.css
[00:23:36.998] GET /css/sweetalert.css
[00:23:36.999] GET /css/default.css
[00:23:36.999] GET /js/jquery.min.js
[00:23:36.999] GET /js/jquery.qrcode.min.js
[00:23:37.001] GET /js/rx.lite.js
[00:23:37.006] GET /js/mustache.min.js
[00:23:37.007] GET /js/sweetalert.min.js
[00:23:37.007] GET /js/utility.js
[00:23:37.007] GET /js/main.js
[00:23:37.648] GET /remote
[00:23:37.658] GET /css/remote.css
[00:23:37.660] GET /js/remote.js?_=1470003817045
[00:23:37.701] GET /remote
[00:23:37.711] GET /css/remote.css
[00:23:37.714] GET /js/remote.js?_=1470003811000
[00:23:40.060] GET /
[00:23:40.066] GET /css/normalize.css
[00:23:40.067] GET /css/sweetalert.css
[00:23:40.068] GET /css/default.css
[00:23:40.071] GET /js/jquery.min.js
[00:23:40.117] GET /js/jquery.qrcode.min.js
[00:23:40.122] GET /js/rx.lite.js
[00:23:40.160] GET /js/mustache.min.js
[00:23:40.169] GET /js/sweetalert.min.js
[00:23:40.177] GET /js/utility.js
[00:23:40.183] GET /js/main.js
[00:23:40.190] GET /js/.js?_=1470003811001
[00:23:40.219] GET /sync
[00:23:40.238] GET /css/sync.css
[00:23:40.240] GET /js/sync.js?_=1470003820111
[00:23:40.242] GET /js/sync.js?_=1470003820112
[00:24:33.488] GET /index.html
[00:24:33.507] GET /css/normalize.css
[00:24:33.508] GET /css/sweetalert.css
[00:24:33.513] GET /css/default.css
[00:24:33.513] GET /js/jquery.min.js
[00:24:33.514] GET /js/jquery.qrcode.min.js
[00:24:33.514] GET /js/rx.lite.js
[00:24:33.515] GET /js/mustache.min.js
[00:24:33.516] GET /js/sweetalert.min.js
[00:24:33.522] GET /js/utility.js
[00:24:33.523] GET /js/main.js
[00:24:33.679] GET /sync
[00:24:33.700] GET /css/sync.css
[00:24:33.703] GET /js/sync.js?_=1470003873581
[00:24:35.807] GET /remote
[00:24:35.816] GET /css/remote.css
[00:24:35.818] GET /js/remote.js?_=1470003873582
[00:24:37.078] GET /sync
[00:24:37.084] GET /css/sync.css
[00:24:37.086] GET /js/sync.js?_=1470003873583
[00:24:39.491] GET /remote
[00:24:39.497] GET /css/remote.css
[00:24:39.501] GET /js/remote.js?_=1470003873584
[00:24:41.160] GET /sync
[00:24:41.165] GET /css/sync.css
[00:24:41.166] GET /js/sync.js?_=1470003873585
[00:25:51.630] GET /index.html
[00:25:51.649] GET /css/normalize.css
[00:25:51.650] GET /css/sweetalert.css
[00:25:51.650] GET /css/default.css
[00:25:51.651] GET /js/jquery.min.js
[00:25:51.653] GET /js/jquery.qrcode.min.js
[00:25:51.654] GET /js/rx.lite.js
[00:25:51.655] GET /js/mustache.min.js
[00:25:51.655] GET /js/sweetalert.min.js
[00:25:51.656] GET /js/utility.js
[00:25:51.656] GET /js/main.js
[00:25:51.817] GET /sync
[00:25:51.843] GET /css/sync.css
[00:25:51.847] GET /js/sync.js?_=1470003951696
[00:25:53.421] GET /remote
[00:25:53.430] GET /css/remote.css
[00:25:53.432] GET /js/remote.js?_=1470003951697
[00:25:56.462] GET /sync
[00:25:56.469] GET /css/sync.css
[00:25:56.471] GET /js/sync.js?_=1470003951698
[00:25:58.576] GET /remote
[00:25:58.583] GET /css/remote.css
[00:25:58.587] GET /js/remote.js?_=1470003951699
[00:26:01.160] GET /sync
[00:26:01.165] GET /css/sync.css
[00:26:01.168] GET /js/sync.js?_=1470003951700
[00:26:02.690] GET /remote
[00:26:02.698] GET /css/remote.css
[00:26:02.700] GET /js/remote.js?_=1470003951701
[00:26:03.817] GET /sync
[00:26:03.822] GET /css/sync.css
[00:26:03.825] GET /js/sync.js?_=1470003951702
